ID,SMILES,y
ZINC000043062370,CC1(C)SC[C@H](CCCCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,1
ZINC000043062373,CC1(C)SC[C@@H](CCCCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,1
ZINC000043120838,CC1(C)SC[C@H](CCCCC(=O)Nc2ccc3c(c2)C[C@@H](C(=O)O)OC3)S1,1
ZINC000043120840,CC1(C)SC[C@@H](CCCCC(=O)Nc2ccc3c(c2)C[C@@H](C(=O)O)OC3)S1,1
ZINC000072171822,CCc1cc(C[C@H]2NC(=O)CN(CCCCOc3cccc(O)c3C(=O)OC)C2=O)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O,1
ZINC000003941517,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3oc4ccccc4c23)cc1Br,1
ZINC000043012483,CC1(C)SC[C@H](CCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,1
ZINC000043012486,CC1(C)SC[C@@H](CCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,1
ZINC000043018062,CC1(C)SC[C@H](CCC(=O)Nc2ccc3c(c2)C[C@@H](C(=O)O)OC3)S1,1
ZINC000043018065,CC1(C)SC[C@@H](CCC(=O)Nc2ccc3c(c2)C[C@@H](C(=O)O)OC3)S1,1
ZINC000043019775,O=C(CCCc1cccs1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000036088362,CCCCCCCCCCCCCCc1ccc(C(=O)c2ccc3c(-c4ccc(OCC(=O)O)cc4)nocc2-3)cc1,1
ZINC000043023878,O=C(CCCc1cccs1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000014516161,CC1(C)Cc2c(O)c(C=O)c3c(c2C1)C(=O)O[C@H](O)C3,1
ZINC000014516164,CC1(C)Cc2c(O)c(C=O)c3c(c2C1)C(=O)O[C@@H](O)C3,1
ZINC000024633064,CC(=O)N[C@@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O,1
ZINC000027100744,CC(=O)N[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O,1
ZINC000064532043,Cc1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,1
ZINC000026945850,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,1
ZINC000040917631,COc1c(C=O)c2c(c3c1CC(C)(C)C3)C(=O)O[C@H](O)C2,1
ZINC000040917632,COc1c(C=O)c2c(c3c1CC(C)(C)C3)C(=O)O[C@@H](O)C2,1
ZINC000042922716,O=C(CCCC[C@@H]1CCSS1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000064552919,O=C(O)/C=C/c1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,1
ZINC000064499518,O=C(O)/C=C/c1cccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)c1,1
ZINC000064521429,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc(N5CCCCC5)cc4)n3)cc12,1
ZINC000064531766,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4cccc(I)c4)n3)cc12,1
ZINC000064553619,C[C@H]1CN(c2ccc(-c3nc(-c4ccc5oc6c(C(=O)O)cccc6c5c4)cs3)cc2)C[C@@H](C)O1,1
ZINC000064553623,C[C@H]1CN(c2ccc(-c3nc(-c4ccc5oc6c(C(=O)O)cccc6c5c4)cs3)cc2)C[C@H](C)O1,1
ZINC000064553626,C[C@@H]1CN(c2ccc(-c3nc(-c4ccc5oc6c(C(=O)O)cccc6c5c4)cs3)cc2)C[C@@H](C)O1,1
ZINC000042922719,O=C(CCCC[C@H]1CCSS1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000042963122,O=C(CCCC[C@@H]1CCSS1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000013443868,O=C1C=C(c2ccccc2)c2ccccc2C1=O,1
ZINC000064553166,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc(I)cc4)n3)cc12,1
ZINC000064531894,Nc1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,1
ZINC000042963125,O=C(CCCC[C@H]1CCSS1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000064521414,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc([N+](=O)[O-])cc4)n3)cc12,1
ZINC000064553019,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc(N5CCOCC5)cc4)n3)cc12,1
ZINC000064521222,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc(N5CCCC5)cc4)n3)cc12,1
ZINC000002008294,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1,1
ZINC000064553165,O=C(O)c1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,1
ZINC000042920218,CCO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,1
ZINC000072172019,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4cc(Br)c(C(=O)[C@H](Cc5ccccc5)C(=O)O)c(Br)c4)n3)cc12,1
ZINC000064485753,CN(C)c1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,1
ZINC000003978827,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,1
ZINC000043018992,O=C(CCCC[C@@H]1CCSCS1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000043022371,O=C(CCCC[C@@H]1CCSCS1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043079226,CO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,1
ZINC000043023390,O=C(CC[C@H]1CSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043023392,O=C(CC[C@@H]1CSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043119865,O=C(CC[C@H]1CSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000043119866,O=C(CC[C@@H]1CSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000043018429,O=C(CCCCc1cccs1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043023459,O=C(CCCC[C@@H]1CCSS1)Nc1ccc2c(c1)C(=O)O[C@H](C(=O)O)C2,1
ZINC000043024335,CCCCO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,1
ZINC000043121342,CCCO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,1
ZINC000043012332,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@@H]21)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043012338,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@H]21)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000062179031,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000062179037,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]12)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000029559923,COC(=O)c1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1,1
ZINC000043025154,O=C(CCCC[C@@H]1CCSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,1
ZINC000043070734,O=C(CCCCc1cccs1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000062179010,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@@H]21)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000062179015,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@H]21)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000062179022,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000062179027,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]12)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000043060869,O=C(CCCC[C@@H]1CCSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,1
ZINC000013443907,O=C1C=C(C2CCCCC2)c2ccccc2C1=O,1
ZINC000006794685,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,0
ZINC000040424027,CC(C)Cc1ccccc1C(=O)N(CCc1ccc(Cl)cc1)C1CCC2(CC1)OCCO2,0
ZINC000095582885,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,0
ZINC000006717510,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0
ZINC000001996578,Cc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(C[N+](C)(C)C4CCOCC4)cc2)CCC3)cc1,0
ZINC000028950516,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,0
ZINC000068201355,O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,0
ZINC000101448765,Nc1nc(Nc2ccc([C@H]3CC[C@@H](N4CCOCC4)CC3)cc2)nn1-c1ccccn1,0
ZINC000026500814,O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,0
ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0
ZINC000096929133,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,0
ZINC000170110498,CCCCB(O)c1ccccc1,0
ZINC000040429080,NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000028701631,N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,0
ZINC000053683345,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,0
ZINC000066066276,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,0
ZINC000013588262,O=C(NO)[C@H]1c2ccc(O)cc2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,0
ZINC000003816409,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,0
ZINC000096270778,c1cc(N2CCOCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000095589379,CC(C)(C)OC(=O)c1ccc(C(=O)NCCC2CCN(c3ncnc4cc(C(N)=O)sc34)CC2)s1,0
ZINC000001488366,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,0
ZINC000001488366,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,0
ZINC000003812153,COC(=O)c1ccc(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)CC(C)C)cc1,0
ZINC000045317629,CNCCN1CCC(c2cc(C)c3[nH]c(-c4c(OC)cccc4OC)nc3c2)CC1,0
ZINC000001550770,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,0
ZINC000169715525,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0
ZINC000008594565,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C,0
ZINC000013682420,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,0
ZINC000098209037,C[C@H]1Oc2cc(cnc2N)-c2c(C3CC3)nn(C)c2CN(C)C(=O)c2ccc(F)cc21,0
ZINC000062232986,COC(=O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,0
ZINC000049047821,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CNC[C@H]1c1ccc(Cl)cc1,0
ZINC000058568561,Cc1nc2nc(C(=O)NCCc3ccccn3)cn2c(-c2ccc(Cl)cc2Cl)c1CN,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000100014909,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0
ZINC000073221967,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,0
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000103252453,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1,0
ZINC000008457049,O=C1OC(=O)c2cccc3cccc1c23,0
ZINC000040848256,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000003871640,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000253633891,O=C(N[C@@H]1CC[C@@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,0
ZINC000040430143,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0
ZINC000029046860,CC1CCN(c2cc(C3CCNCC3)ccc2NC(=O)c2ccc(C#N)o2)CC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000035049805,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4C)ccc3C)ccc2n1,0
ZINC000072117166,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)N(Cc3ccc(C4CCCCC4)cc3)c3ccc(C(=O)O)c(O)c3)cccc12,0
ZINC000169357943,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000084596898,CC(C)Oc1ccc(-c2nc(-c3ccc(F)c4c(CCC(=O)O)cn(C)c34)no2)cc1Cl,0
ZINC000000391915,O=C(O)c1ccnc(C(=O)O)c1,0
