ID,SMILES,y
ZINC000073140965,COc1ccc(S(=O)(=O)/N=C(\O)c2sccc2SCc2ccc(Cl)c(Cl)c2)cc1C(=O)O,1
ZINC000073139987,NCC(=O)Nc1cccc(C#Cc2ccc(C(=O)O)c(SCc3ccc(Cl)c(Cl)c3)c2)c1,1
ZINC000095597206,O=C(O)c1cc2c(C#Cc3ccc(OC(F)(F)F)cc3)c(-c3ccccc3)oc2cc1O,1
ZINC000220764198,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,1
ZINC000003883136,O=C(O)c1sccc1SCc1ccc(Cl)c(Cl)c1,1
ZINC000095596630,O=C(O)c1cc2c(C#Cc3cccc(C(F)(F)F)c3)c(-c3ccccc3)oc2cc1O,1
ZINC000073129300,CS(=O)(=O)/N=C(\O)c1sccc1SCc1ccc(Cl)c(Cl)c1,1
ZINC000073129471,O=S(=O)(/N=C(\O)c1sccc1SCc1ccc(Cl)c(Cl)c1)c1ccccc1,1
ZINC000073316691,O=C(O)c1sccc1SCc1ccc(Br)c(Br)c1,1
ZINC000073129873,Nc1cccc(S(=O)(=O)/N=C(\O)c2sccc2SCc2ccc(Cl)c(Cl)c2)c1,1
ZINC000073139326,O=C(O)c1ccc(C#CCCO)cc1SCc1ccc(Cl)c(Cl)c1,1
ZINC000096272268,CCCNC(=O)COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1,1
ZINC000095597373,O=C(O)c1cc2c(C#Cc3cc(F)cc(F)c3)c(-c3ccccc3)oc2cc1O,1
ZINC000073139318,COC(=O)c1cc(S(=O)(=O)/N=C(\O)c2sccc2SCc2ccc(Cl)c(Cl)c2)ccc1OC,1
ZINC000006884503,O=C(O)c1ccccc1SCc1ccc(Cl)c(Cl)c1,1
ZINC000073139329,Nc1cccc(C#Cc2ccc(C(=O)O)c(SCc3ccc(Cl)c(Cl)c3)c2)c1,1
ZINC000073139323,O=C(O)c1ccc(Br)cc1SCc1ccc(Cl)c(Cl)c1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000096929133,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,0
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000036056301,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,0
ZINC000100371951,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,0
ZINC000040429080,NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,0
ZINC000095504909,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000013738523,O=c1c2cccnc2sn1-c1ccc(F)cc1,0
ZINC000084620159,N#CC1=C(SCc2ccccc2)S[C@@H](c2cc(O)ccc2O)NC1=O,0
ZINC000169341682,CCOc1cc(F)c(Cn2nc(-c3ncc(OC)c(Nc4ccncc4)n3)c3c2CCC3)c(F)c1,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000299839340,COc1ccccc1N1CCN(C(=O)/C=C/c2noc(-c3cc(Cl)c(O)cc3O)c2-c2ccc(O)cc2)CC1,0
ZINC000231558920,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,0
ZINC000103252453,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1,0
