ID,SMILES,y
ZINC000012358651,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1
ZINC000004475360,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1
ZINC000003784077,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,1
ZINC000013804910,CC1(C)CCC(C)(C)c2cc(-c3ccc(-c4ccc(C(=O)O)cc4)[nH]3)ccc21,1
ZINC000038493164,CC1(C)CCC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,1
ZINC000028758554,CC1(C)CCC(C)(C)c2cc(-c3cccc(-c4ccc(C(=O)O)cc4)c3)ccc21,1
ZINC000036410905,COC[C@H](C)Oc1cc(Oc2cc(F)cc(F)c2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1
ZINC000004825704,CC(/C=C/C=C(\C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)=C\C(=O)O,1
ZINC000001996688,Cc1ccc(C2=CC(C)(C)Sc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)cc1,1
ZINC000001543482,Cc1ccc(C2=CCC(C)(C)c3ccc(C#Cc4ccc(C(=O)O)cc4)cc32)cc1,1
ZINC000013649044,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)c(F)c3)ccc21,1
ZINC000003951146,CC1(C)CCC(C)(C)c2nc(-c3ccc(-c4ccc(C(=O)O)cc4)[nH]3)cnc21,1
ZINC000013804924,CC1(C)CCC(C)(C)c2nc(-c3cc(-c4ccc(C(=O)O)cc4)cs3)cnc21,1
ZINC000001909562,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,1
ZINC000013649048,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3cc(F)c(C(=O)O)c(F)c3)c(O)cc21,1
ZINC000026389792,CC(/C=C/[C@@H]1C[C@@H]1/C=C/C1=CC(C)(C)CCC1(C)C)=C\C(=O)O,1
ZINC000026389795,CC(/C=C/[C@H]1C[C@@H]1/C=C/C1=CC(C)(C)CCC1(C)C)=C\C(=O)O,1
ZINC000026389799,CC(/C=C/[C@@H]1C[C@H]1/C=C/C1=CC(C)(C)CCC1(C)C)=C\C(=O)O,1
ZINC000026389803,CC(/C=C/[C@H]1C[C@H]1/C=C/C1=CC(C)(C)CCC1(C)C)=C\C(=O)O,1
ZINC000001891906,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Br,1
ZINC000001892655,CCCOc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000003834070,Cc1cc2c(cc1C(=O)c1ccc(C(=O)O)cc1)C(C)(C)CCC2(C)C,1
ZINC000001891905,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1ccc(C(=O)O)c(F)c1)c(O)c2Br,1
ZINC000005762190,CC1(C)CCC(C)(C)c2cc3cc(-c4ccc(C(=O)O)cc4)ccc3cc21,1
ZINC000027847873,Cc1ccc(C2=CC(C)(C)Oc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)cc1,1
ZINC000001539579,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
ZINC000000538415,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,1
ZINC000001896358,Cc1ccc(C2=CC(C)(C)Oc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)s1,1
ZINC000012661824,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,1
ZINC000013649046,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3cc(F)c(C(=O)O)c(F)c3)ccc21,1
ZINC000003809578,CC1=C(C(C)C)/C(=C/C(C)=C/C=C/C(C)=C/C(=O)O)CCC1,1
ZINC000028523790,CC(C)COc1cc(OC(C)C)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1
ZINC000005762191,CC1(C)CCC(C)(C)c2cc(/C=C/c3ccc(C(=O)O)cc3)ccc21,1
ZINC000013741828,CCC1=C(C(C)C)/C(=C/C(C)=C/C=C/C(C)=C/C(=O)O)CCC1,1
ZINC000028520911,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,1
ZINC000027850253,Cc1ccc(C2=CC(C)(C)Sc3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)s1,1
ZINC000027858089,Cc1ccc(C2=CCC(C)(C)c3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)cc1,1
ZINC000013757374,CCOc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000028759527,Cc1cc2c(cc1C1=NO[C@@H](c3ccc(C(=O)O)cc3)C1)C(C)(C)CCC2(C)C,1
ZINC000028759529,Cc1cc2c(cc1C1=NO[C@H](c3ccc(C(=O)O)cc3)C1)C(C)(C)CCC2(C)C,1
ZINC000027866591,Cc1ccc(C2=CCC(C)(C)c3cc4ccc(-c5ccc(C(=O)O)cc5)cc4cc32)s1,1
ZINC000029226809,Cc1cc2c(cc1/C=C/c1ccc(C(=O)O)cc1)C(C)(C)CCC2(C)C,1
ZINC000043061922,CC(=C\c1coc2cc3c(cc2c1=O)C(C)(C)CCC3(C)C)/C=C(\C)C(=O)O,1
ZINC000026472010,CC(C)N1CCC(C)(C)c2ccc(C#Cc3ccc(C(=O)O)cc3)cc21,1
ZINC000021992287,CC1=C(/C=C\C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,1
ZINC000000840991,CC1(C)CCC(C)(C)c2nc(-c3cc(-c4ccc(C(=O)O)cc4)co3)cnc21,1
ZINC000013832718,C/C(=C\c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccc(C(=O)O)cc1,1
ZINC000013832717,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCS2,1
ZINC000027865707,CC1(C)CCC(C)(C)c2cc(C/C=C/c3ccc(C(=O)O)cc3)ccc21,1
ZINC000026380398,CC[C@@H](C)/C=C/CC(=C/C(=O)O)/C=C/C1=C(C)CCCC1(C)C,1
ZINC000026380401,CC[C@H](C)/C=C/CC(=C/C(=O)O)/C=C/C1=C(C)CCCC1(C)C,1
ZINC000028228318,CC(C)c1cccc2c(-c3ccccc3)cc(-c3ccc(-c4ccc(C(=O)O)cc4)[nH]3)nc12,1
ZINC000013804918,CC1(C)CCC(C)(C)c2nc(-c3ccc(-c4ccc(C(=O)O)cc4)o3)cnc21,1
ZINC000013779470,CC(=C\C=C\C(C)=C\C(=O)O)/C=C1\CCCc2ccccc21,1
ZINC000027648730,CC1(C)CC=C(c2ccc(C#N)cc2)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,1
ZINC000013757372,COc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000013804907,CC1(C)CCC(C)(C)c2nc(C(=O)Nc3ccc(C(=O)O)cc3)cnc21,1
