ID,SMILES,y
ZINC000072107658,O=C(O)/C=C/c1cccc(Nc2ccc3ccccc3n2)c1,1
ZINC000072109880,O=C(O)/C=C/c1cccc(Nc2cnc3ccccc3n2)c1,1
ZINC000096272120,O=C(Nc1cccc(Oc2ccccc2)c1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272121,O=C(Nc1cccc(Oc2ccccc2)c1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272118,O=C(Nc1cccc(Cc2ccccc2)c1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272119,O=C(Nc1cccc(Cc2ccccc2)c1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000072107657,OC/C=C/c1cccc(Nc2cnc3ccccc3n2)c1,1
ZINC000072107913,O=C(O)CCc1cccc(Nc2cnc3ccccc3n2)c1,1
ZINC000072141555,O=C(O)C1CCN(c2nc3ccc([N+](=O)[O-])cc3nc2N2CCC(C(=O)O)CC2)CC1,1
ZINC000096272116,O=C(Nc1cccc(OCCc2ccccn2)c1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272117,O=C(Nc1cccc(OCCc2ccccn2)c1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000072107072,O=C(O)/C=C/c1ccc(Nc2nc3ccc([N+](=O)[O-])cc3nc2Nc2ccc(/C=C/C(=O)O)cc2)cc1,1
ZINC000072109284,O=C(O)/C=C/c1cccc(Oc2cnc3ccccc3n2)c1,1
ZINC000041872366,c1ccc2nc(Nc3ccc4c(c3)OCCO4)cnc2c1,1
ZINC000072107484,O=C(O)/C=C/c1cccc(Nc2nc3ccc([N+](=O)[O-])cc3nc2Nc2cccc(/C=C/C(=O)O)c2)c1,1
ZINC000000689897,O=C(O)c1cccc(Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)c1,1
ZINC000096272156,O=C(Nc1ccc(Cl)cc1)[C@H]1CCCN(C(=O)c2cccc(-c3cccs3)c2)C1,1
ZINC000096272157,O=C(Nc1ccc(Cl)cc1)[C@@H]1CCCN(C(=O)c2cccc(-c3cccs3)c2)C1,1
ZINC000096272142,O=C(Nc1ccc(Cl)cc1)[C@H]1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,1
ZINC000096272143,O=C(Nc1ccc(Cl)cc1)[C@@H]1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,1
ZINC000096272114,O=C(Nc1cccc(S(=O)(=O)N2CCCC2)c1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272115,O=C(Nc1cccc(S(=O)(=O)N2CCCC2)c1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272178,Cc1nc(-c2cccc(NC(=O)[C@@H]3CCCN(C(=O)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)C3)c2)cs1,1
ZINC000096272179,Cc1nc(-c2cccc(NC(=O)[C@H]3CCCN(C(=O)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)C3)c2)cs1,1
ZINC000096272150,O=C(Nc1cccc(OCc2ccccn2)c1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272151,O=C(Nc1cccc(OCc2ccccn2)c1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272176,CCc1cccc(NC(=O)[C@@H]2CCCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)c1,1
ZINC000096272177,CCc1cccc(NC(=O)[C@H]2CCCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)c1,1
ZINC000096272154,O=C(Nc1ccc(Cl)cc1)[C@H]1CCCN(C(=O)c2ccc(-c3ccco3)cc2)C1,1
ZINC000096272155,O=C(Nc1ccc(Cl)cc1)[C@@H]1CCCN(C(=O)c2ccc(-c3ccco3)cc2)C1,1
ZINC000045385740,O=C(Nc1ccc(Cl)cc1)[C@@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000045385744,O=C(Nc1ccc(Cl)cc1)[C@H]1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1
ZINC000096272140,O=C(c1ccccc1)c1cccc(C(=O)N2CCC[C@H](C(=O)Nc3ccc(Cl)cc3)C2)c1,1
ZINC000096272141,O=C(c1ccccc1)c1cccc(C(=O)N2CCC[C@@H](C(=O)Nc3ccc(Cl)cc3)C2)c1,1
ZINC000096272146,CSc1cccc(NC(=O)[C@@H]2CCCN(C(=O)c3cccc(-c4ccco4)c3)C2)c1,1
ZINC000096272147,CSc1cccc(NC(=O)[C@H]2CCCN(C(=O)c3cccc(-c4ccco4)c3)C2)c1,1
