ID,SMILES,y
ZINC000001550770,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000012358651,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1
ZINC000013587538,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,1
ZINC000013587541,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,1
ZINC000013527151,CC(/C=C/C1=C(c2cc(C(C)C)cc(C(C)C)c2OCC(F)F)CCC1)=C\C(=O)O,1
ZINC000028952292,CCN1C(=O)CC(C)(C)c2cc(C)c(-c3cc(/C=C4\SC(=O)NC4=O)ccc3OC(F)(F)F)cc21,1
ZINC000013522221,COc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,1
ZINC000013522227,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCCF,1
ZINC000013522229,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCC(F)F,1
ZINC000013522243,COc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)(C)C)cc1C(C)(C)C,1
ZINC000013527169,CC(/C=C/C1=C(c2cc(C(C)C)cc(C(C)C)c2OCC(F)(F)F)CCC1)=C\C(=O)O,1
ZINC000013587537,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,1
ZINC000028952256,Cc1cc2c(cc1-c1cc(CCC(=O)O)ccc1OC(F)(F)F)N(CC(F)(F)F)C(=O)CC2(C)C,1
ZINC000004847121,CC(/C=C/[C@H]1C[C@@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000012661824,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,1
ZINC000013522253,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,1
ZINC000013863240,CC(/C=C/[C@@H]1C[C@@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000013863241,CC(/C=C/[C@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000026663021,CCCOc1c(-c2c[nH]c3ccc(/C(C)=C/C(=O)O)cc23)cc(C(C)(C)C)cc1C(C)(C)C,1
ZINC000026670014,C/C(=C\C(=O)O)c1ccc2[nH]cc(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)c2c1,1
ZINC000028952149,CCN1C(=O)CC(C)(C)c2cc(C)c(-c3cc(/C=C/C(=O)O)ccc3OC(F)(F)F)cc21,1
ZINC000028952497,Cc1cc2c(cc1-c1cc(/C=C/C(=O)O)ccc1OC(F)(F)F)N(CC(F)(F)F)C(=O)CC2(C)C,1
ZINC000013527128,CCCOc1c(C2=C(/C=C/C(C)=C/C(=O)O)CCC2)cc(C(C)C)cc1C(C)C,1
ZINC000013527149,CC(/C=C/C1=C(c2cc(C(C)C)cc(C(C)C)c2OCCCF)CCC1)=C\C(=O)O,1
ZINC000013527172,CC(/C=C/c1sccc1-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCCC(F)F)=C\C(=O)O,1
ZINC000001892655,CCCOc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000002008474,CC(/C=C/CC1(c2ccc3c(c2)C(C)(C)CCC3(C)C)CC1)=C\C(=O)O,1
ZINC000013522225,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,1
ZINC000013522268,CCC(C)(C)c1cc(/C(C)=C\C=C\C(C)=C\C(=O)O)c(OC)c(C(C)(C)CC)c1,1
ZINC000013522271,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)(C)CC)cc1C(C)(C)CC,1
ZINC000013757372,COc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000028952494,CCCN1C(=O)CC(C)(C)c2cc(C)c(-c3cc(/C=C/C(=O)O)ccc3OC(F)(F)F)cc21,1
ZINC000013527141,CC(/C=C/c1sccc1-c1cc(C(C)C)cc(C(C)C)c1OCC(F)F)=C\C(=O)O,1
ZINC000013587536,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,1
ZINC000028952173,CCN1C(=O)CC(C)(C)c2cc(C)c(-c3cc([C@@H]4C[C@H]4C(=O)O)ccc3OC(F)(F)F)cc21,1
