ID,SMILES,y
ZINC000001550770,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000004847121,CC(/C=C/[C@H]1C[C@@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000013863240,CC(/C=C/[C@@H]1C[C@@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000013863241,CC(/C=C/[C@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000012358651,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,1
ZINC000013527151,CC(/C=C/C1=C(c2cc(C(C)C)cc(C(C)C)c2OCC(F)F)CCC1)=C\C(=O)O,1
ZINC000013738449,C=C(c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1
ZINC000013527141,CC(/C=C/c1sccc1-c1cc(C(C)C)cc(C(C)C)c1OCC(F)F)=C\C(=O)O,1
ZINC000013587539,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,1
ZINC000013587537,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,1
ZINC000003873121,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,1
ZINC000026403759,CC(/C=C/[C@]12CCC[C@@]1(c1ccc3c(c1)C(C)(C)CCC3(C)C)C2)=C\C(=O)O,1
ZINC000001892655,CCCOc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000001997144,CO/N=C(\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
ZINC000012661824,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,1
ZINC000013757372,COc1cc2c(cc1/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC2(C)C,1
ZINC000026649488,C/C(=C\c1ncc(C(=O)O)s1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
ZINC000013527128,CCCOc1c(C2=C(/C=C/C(C)=C/C(=O)O)CCC2)cc(C(C)C)cc1C(C)C,1
ZINC000013527131,CCc1cc(-c2ccsc2/C=C/C(C)=C/C(=O)O)c(OCCCF)c(C(C)(C)C)c1,1
ZINC000001546069,CC(/C=C/C1(c2cc3c(cc2C)C(C)(C)CCC3(C)C)CC1)=C\C(=O)O,1
ZINC000003834061,Cc1cc2c(cc1/C(=N/O)c1ccc(C(=O)O)cc1)C(C)(C)CCC2(C)C,1
ZINC000013742677,C=C(c1ccc(C(=O)O)cn1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
ZINC000026467857,CC(/C=C/[C@H]1CCC[C@@H]1c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,1
ZINC000013587538,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,1
ZINC000013587541,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,1
ZINC000013487076,CC(/C=C/CC1(c2ccc3c(c2)C(C)(C)CCC3(C)C)CCCC1)=C\C(=O)O,1
ZINC000013911442,CC(/C=C/C1(c2ccc3c(c2)C(C)(C)CCC3(C)C)CC1)=C\C(=O)O,1
ZINC000013527158,CC(/C=C/c1ccoc1-c1cc(C(C)C)cc(C(C)C)c1OCCCF)=C\C(=O)O,1
ZINC000013527134,CCc1cc(-c2ccsc2/C=C/C(C)=C/C(=O)O)c(OCC(F)F)c(C(C)(C)C)c1,1
