ID,SMILES,y
ZINC000084596898,CC(C)Oc1ccc(-c2nc(-c3ccc(F)c4c(CCC(=O)O)cn(C)c34)no2)cc1Cl,1
ZINC000084596899,CC(C)Oc1ccc(-c2nc(-c3cc(F)cc4c(CCC(=O)O)cn(C)c34)no2)cc1Cl,1
ZINC000084759619,CC(C)Oc1ccc(-c2nc(-c3cccc4c3ccn4CCC(=O)O)no2)cc1Cl,1
ZINC000114896238,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CCO[C@H]2CC(=O)O)cc1C#N,1
ZINC000114896240,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CCO[C@@H]2CC(=O)O)cc1C#N,1
ZINC000014163159,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,1
ZINC000084619203,CC(C)Oc1ccc(-c2nc(-c3cccc4c(CCC(=O)O)c[nH]c34)no2)cc1Cl,1
ZINC000084688432,CCc1c(CCNCC(=O)O)cccc1-c1nsc(-c2ccc(OC(C)C)c(C(F)(F)F)c2)n1,1
ZINC000049793739,CCCCCCCCc1ccc2c(c1)CC[C@H]([C@@](C)(N)COP(=O)(O)O)C2,1
ZINC000084688433,CCc1c(CCN(C)CC(=O)O)cccc1-c1nsc(-c2ccc(OC(C)C)c(C(F)(F)F)c2)n1,1
ZINC000117786309,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CC[C@@H]2CC(=O)O)cc1C(F)(F)F,1
ZINC000084756916,CC(C)Oc1ccc(-c2nc(-c3cccc4c3c(Cl)cn4CCC(=O)O)no2)cc1Cl,1
ZINC000117790162,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CC[C@@H]2CC(=O)O)cc1C#N,1
ZINC000008860500,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)O,1
ZINC000038157804,Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(O[C@@H](C)C(F)(F)F)c(C#N)c2)n1,1
ZINC000038157805,Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(O[C@H](C)C(F)(F)F)c(C#N)c2)n1,1
ZINC000114897570,O=C(O)C[C@@H]1NCCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,1
ZINC000114897572,O=C(O)C[C@H]1NCCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,1
ZINC000084635291,CC(C)Oc1ccc(-c2nc(-c3cccc4c(CCC(N)=O)c[nH]c34)no2)cc1Cl,1
ZINC000084652166,O=C(O)CCNCCc1ccc2oc(-c3ccc(-c4ccccc4)c(C(F)(F)F)c3)nc2c1,1
ZINC000084670290,O=C(O)CNCCCc1ccc2oc(-c3ccc(-c4ccccc4)c(C(F)(F)F)c3)nc2c1,1
