ID,SMILES,y
ZINC000103256117,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)cnc12,1
ZINC000299818576,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)ccc12,1
ZINC000299819642,COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3ccc4c(N)n[nH]c4c3)cc2)c1,1
ZINC000299821084,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(Cl)sc4Cl)cc3)ccc12,1
ZINC000299822751,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4ccccc4Cl)cc3)ccc12,1
ZINC000299823732,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)ccc12,1
ZINC000299836468,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(C(F)(F)F)ccc4F)cc3)ccc12,1
ZINC000299838395,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)ccc12,1
ZINC000299840901,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)ccc12,1
ZINC000299841439,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(Br)ccc4Cl)cc3)ccc12,1
ZINC000217934820,O=S(=O)(Nc1ccc(-c2nc(OC3CCC(O)CC3)c3cn[nH]c3n2)cc1)c1cc(Cl)ccc1F,1
ZINC000218003043,Cc1[nH]nc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)ncc12,1
ZINC000299841234,NCCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]ncc12,1
ZINC000218139393,COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(C4CC4)c4c(N)[nH]nc4n3)cc2)c1,1
ZINC000299824975,N#Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2nc(OC3CCC(O)CC3)c3cn[nH]c3n2)cc1,1
ZINC000299826443,COc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3F)cc2)nc2[nH]ncc12,1
ZINC000299828025,COc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3nc(O[C@@H]4CC[C@@H](O)CC4)c4c(C)n[nH]c4n3)cc2)c1,1
ZINC000299830374,O=S(=O)(Nc1ccc(-c2nc(O[C@@H]3CC[C@@H](O)CC3)c3cn[nH]c3n2)cc1)c1cc(Cl)ccc1F,1
ZINC000103256105,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)c(F)c3)cnc12,1
ZINC000103256107,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)c(F)c3)cnc12,1
ZINC000103256113,Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3cnc4c(C)n[nH]c4n3)cc2)c1,1
ZINC000103256115,COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cnc4c(C)n[nH]c4n3)cc2)c1,1
ZINC000138053773,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)ccc12,1
ZINC000148822399,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)c(F)cc4F)cc3)cnc12,1
ZINC000148833389,COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1,1
ZINC000148846347,Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1,1
ZINC000148890279,COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1,1
ZINC000148931270,COc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1,1
ZINC000148942429,Cc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)cnc12,1
ZINC000299819620,N#Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2ccc3c(N)n[nH]c3c2)cc1,1
ZINC000103256100,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)cnc12,1
ZINC000103256111,Cc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cnc4c(C)n[nH]c4n3)cc2)c1,1
ZINC000148822188,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)c(F)c3)cnc12,1
ZINC000148832093,Cc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4C#N)cc3)cnc12,1
ZINC000148915956,Cc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1,1
ZINC000299821124,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4ccc(Br)s4)cc3)ccc12,1
ZINC000103256109,Cc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)cnc12,1
ZINC000148849799,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)sc4Cl)cc3)cnc12,1
ZINC000043122465,CC(C)Cc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O,1
ZINC000072317687,O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,1
ZINC000103256103,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)cnc12,1
ZINC000299828859,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cc(Br)ccc4F)cc3)ccc12,1
ZINC000299837977,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4F)cc3)ccc12,1
ZINC000299835191,N#Cc1c(Cl)cccc1S(=O)(=O)Nc1ccc(-c2ccc3c(N)n[nH]c3c2)cc1,1
ZINC000299839938,Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3nc(OC[C@@H]4CNCCO4)c4cn[nH]c4n3)cc2)c1,1
ZINC000299839939,Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3nc(OC[C@H]4CNCCO4)c4cn[nH]c4n3)cc2)c1,1
ZINC000299820447,Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3nc(C4CC4)c4cn[nH]c4n3)cc2)c1,1
ZINC000299834400,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4cccc(F)c4F)cc3)ccc12,1
ZINC000148865707,N#Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2cnc3c(N)n[nH]c3n2)cc1,1
ZINC000043015507,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,1
ZINC000148893795,Cc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)cnc12,1
ZINC000221147124,Nc1[nH]nc2nc(-c3ccc(NS(=O)(=O)c4ccccc4Cl)cc3)cnc12,1
ZINC000299826296,Cn1cc(S(=O)(=O)Nc2ccc(-c3ccc4c(N)n[nH]c4c3)cc2)c(C(F)(F)F)n1,1
ZINC000221226155,Nc1[nH]nc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)cnc12,1
ZINC000148857244,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cccc5ccccc45)cc3)cnc12,1
ZINC000299820651,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4ccco4)cc3)ccc12,1
ZINC000299828188,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)ncc12,1
ZINC000043011985,CCc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O,1
ZINC000221168289,Nc1[nH]nc2nc(-c3ccc(NS(=O)(=O)c4cccc(F)c4Cl)cc3)cnc12,1
ZINC000221217839,Nc1[nH]nc2nc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)cnc12,1
ZINC000299823552,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)Cc4cc(F)ccc4F)cc3)ccc12,1
ZINC000299839537,Cc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)cnc12,1
ZINC000034658192,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,1
ZINC000043062501,CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4cccc(C#N)c4)cc23)cc1,1
ZINC000299818709,Cc1ccc(C#N)cc1S(=O)(=O)Nc1ccc(-c2ccc3c(N)n[nH]c3c2)cc1,1
ZINC000042966686,CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,1
ZINC000043016385,O=C(O)Cc1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1,1
ZINC000043069232,CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1,1
ZINC000299823741,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)c4ccccc4)cc3)ccc12,1
ZINC000043024209,C[C@H](C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1,1
ZINC000043024212,C[C@@H](C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1,1
ZINC000299838015,CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(N)c12,1
ZINC000299820098,COc1cc(O)ccc1/C=N/NC(=O)Cc1cccc(O)c1,1
ZINC000043121559,c1ccc(-c2cnc3[nH]cc(-c4ccc(-c5nnn[nH]5)cc4)c3c2)cc1,1
ZINC000148843802,NNc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2cnc3c(N)n[nH]c3n2)cc1,1
ZINC000068243575,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,1
ZINC000101595683,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O,1
ZINC000006718828,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,1
ZINC000299824996,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)Cc4ccccc4)cc3)ccc12,1
ZINC000043020165,NCc1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,1
ZINC000148847842,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4ccc(C(F)(F)F)cc4Cl)cc3)cnc12,1
ZINC000148890063,O=S(=O)(Nc1ccc(-c2cnc3cn[nH]c3n2)cc1F)c1cccc(Cl)c1Cl,1
ZINC000148847622,O=S(=O)(Nc1ccc(-c2cnc3cn[nH]c3n2)cc1)c1cc(Cl)ccc1Cl,1
ZINC000148844309,O=S(=O)(Nc1ccc(-c2cnc3cn[nH]c3n2)cc1F)c1cc(Cl)ccc1Cl,1
ZINC000045335993,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,1
ZINC000253994709,O=C(N[C@@H]1CC[C@@H](O)CC1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,1
ZINC000014956309,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ncc[nH]2)ccc1O,1
ZINC000299823677,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)C4CC4)cc3)ccc12,1
ZINC000035827374,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,1
ZINC000299826397,Nc1n[nH]c2cc(-c3ccc(NS(=O)(=O)C4CCCCC4)cc3)ccc12,1
ZINC000045288739,Nc1ncnc2c1[C@@H](Nc1ccc(F)cc1)N=N2,1
ZINC000045288742,Nc1ncnc2c1[C@H](Nc1ccc(F)cc1)N=N2,1
ZINC000043076685,COC(=O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,1
ZINC000008830553,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
ZINC000299836984,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4ccc(Cl)cc4Cl)cc3)cnc12,1
ZINC000043078778,CC(=O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,1
ZINC000299822488,CCCCCS(=O)(=O)Nc1ccc(-c2ccc3c(N)n[nH]c3c2)cc1,1
ZINC000028963230,N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,1
ZINC000096032364,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000039129916,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1,0
ZINC000029038364,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)CN)CC1,0
ZINC000095576260,CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@H](C)O,0
ZINC000040848255,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,0
ZINC000084708180,CN(C)C[C@@H](OC(=O)N1Cc2c(n[nH]c2NC(=O)C(C)(C)C(F)(F)F)C1(C)C)c1ccccc1,0
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,0
ZINC000001550770,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,0
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,0
ZINC000040401732,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3cccc(Cl)c3)nc12,0
ZINC000043201999,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,0
ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0
ZINC000223256723,Cc1noc(C)c1-c1ccc(-c2nc3cnccn3c2NC(C)(C)C)cc1,0
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,0
ZINC000299862535,CCS(=O)(=O)N1CCN(c2ccc(OCc3c(-c4cccc5c(CCCOc6cccc7ccccc67)c(C(=O)O)n(CCN6CCOCC6)c45)c(C)nn3C)cc2)CC1,0
ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,0
ZINC000263621080,COc1ccc(NC(=O)[C@@H](C)Nc2nc(O)c3cnn(C4CCCC4)c3n2)cc1,0
ZINC000014976181,CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1[P@](=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,0
ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,0
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0
ZINC000026834975,COc1ccc(S(=O)(=O)N(CC(=O)NCC2CCCCC2)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,0
ZINC000045245382,Nc1nc(NCc2ccccc2-c2ccccc2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,0
ZINC000084620159,N#CC1=C(SCc2ccccc2)S[C@@H](c2cc(O)ccc2O)NC1=O,0
ZINC000103264450,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4)c(=O)c3c2)cc1NS(=O)(=O)c1cccnc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000103247698,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2ccc(N3CCCC3)cc2o1,0
ZINC000169357943,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,0
ZINC000040848256,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,0
ZINC000103279573,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(Cl)c1O,0
ZINC000035090626,N[C@@]1(C(=O)O)C[S@](=O)[C@H]2[C@H](C(=O)O)[C@H]21,0
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,0
ZINC000044352465,O=C(NC[C@@H](O)C(=O)O)c1ccc(CN(C(=O)Nc2ccc(SC(F)(F)F)cc2)c2ccc(C3CCCCC3)cc2)cc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003922139,Ic1ccc(CCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,0
ZINC000095589379,CC(C)(C)OC(=O)c1ccc(C(=O)NCCC2CCN(c3ncnc4cc(C(N)=O)sc34)CC2)s1,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000169352672,COc1nn(C)c2c1-c1cnc(N)c(n1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,0
ZINC000299850593,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,0
ZINC000299861976,Cn1cc(Cn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)cn1,0
ZINC000098209626,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12,0
ZINC000029569996,COC(=O)[C@H](CCCCN)N(Cc1cccc(OCc2ccccc2)c1)Cc1cccc(OCc2ccccc2)c1,0
ZINC000169312912,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,0
ZINC000006794685,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,0
ZINC000022010649,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,0
ZINC000013682441,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0
ZINC000003815030,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0
ZINC000013520815,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0
ZINC000006717510,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0
ZINC000163060375,C/C=C/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2C[C@@H](C)CN2C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C1=O,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000008581934,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1,0
ZINC000299839340,COc1ccccc1N1CCN(C(=O)/C=C/c2noc(-c3cc(Cl)c(O)cc3O)c2-c2ccc(O)cc2)CC1,0
