ID,SMILES,y
ZINC000088343207,C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)C[C@@H](C)O1,1
ZINC000095573120,C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)CCO1,1
ZINC000095575591,Clc1ccc(Nc2nccc3cc(N4CCOCC4)ccc23)cc1-c1ncc(-c2ccccc2)[nH]1,1
ZINC000095572034,C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)C[C@@H](C)O1,1
ZINC000095580071,Cc1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1-c1ncc(-c2ccccc2)[nH]1,1
ZINC000095574406,C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)cccc3n2)C[C@@H](C)O1,1
ZINC000049037440,Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1,1
ZINC000095577835,C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)ccnc3c2)C[C@@H](C)O1,1
ZINC000095060654,C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)CCO1,1
ZINC000095578485,COc1cc(OC)cc(C(=O)Nc2ccc(C)c(-c3ncc(-c4ccccc4)[nH]3)c2)c1,1
ZINC000095580576,Clc1ccc(Nc2nccc3cc(N4CCCCC4)ccc23)cc1-c1ncc(-c2ccccc2)[nH]1,1
ZINC000049049720,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(Cl)cc2)c2ccccc12,1
ZINC000058494296,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccncc12,1
ZINC000040973291,CC(C)(N)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1,1
ZINC000043197072,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,1
ZINC000040899447,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1
ZINC000095575579,O=S1(=O)CCN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)CC1,1
ZINC000049035639,C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12,1
