ID,SMILES,y
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000072317687,O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,1
ZINC000095560277,CN1CCN(C(=O)c2ccc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)cc2)CC1,1
ZINC000095562389,O=C(NCCCNc1nc(Nc2cnn(C3CCOCC3)c2)ncc1C1CC1)C1CCC1,1
ZINC000095563097,O=C(NCCCNc1nc(Nc2cnn(C3CCC3)c2)ncc1C1CC1)C1CCC1,1
ZINC000095564090,O=C(NCCCNc1nc(Nc2cccc(F)c2)ncc1Br)C1CCC1,1
ZINC000084603282,Nc1cccc(-c2nc3c(NCCCNC(=O)C4CCC4)c(Br)cnc3[nH]2)c1,1
ZINC000095557921,O=C(NCCCNc1nc(Nc2cccc(Cn3cncn3)c2)ncc1C1CC1)C1CCC1,1
ZINC000095561344,O=C(NCCCNc1nc(Nc2ccc(-n3cncn3)cc2)ncc1C1CC1)C1CCC1,1
ZINC000084603150,COc1ccc(-c2nc3c(NCCCNC(=O)C4(CN)CC4)c(Br)cnc3[nH]2)cc1,1
ZINC000084603152,COc1ccc(-c2nc3c(NCCCNC(=O)C4CCC4)c(Br)cnc3[nH]2)cc1,1
ZINC000084615156,O=C(NCCCNc1c(Br)cnc2nc(-c3ccc(OCCN4CCCCC4)cc3)[nH]c12)C1CCC1,1
ZINC000084615160,NC(=O)c1cnc2nc(-c3ccc(OCCN4CCCCC4)cc3)[nH]c2c1NCCCNC(=O)C1CCC1,1
ZINC000095560925,CC(C)n1cc(Nc2ncc(C3CC3)c(NCCCNC(=O)C3CCC3)n2)cn1,1
ZINC000095563423,O=C(NCCCNc1nc(Nc2cnn(C3CCCC3)c2)ncc1C1CC1)C1CCC1,1
ZINC000084603154,COc1ccc(-c2nc3c(NCCCN(C)C(=O)C4CCC4)c(Br)cnc3[nH]2)cc1,1
ZINC000095559497,CN(C)Cc1ccc(Nc2ncc(C3CC3)c(NCCCNC(=O)C3CCC3)n2)cc1,1
ZINC000095559591,O=C(NCCCNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C1CC1)C1CCC1,1
ZINC000095562499,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br)c1cccs1,1
ZINC000084618705,COc1ccc(-c2nc3c(NCCCNC(=O)C(C)(C)C)c(Br)cnc3[nH]2)cc1,1
ZINC000095558912,O=C(NCCCNc1nc(Nc2ccc3c(c2)CN(C2CC2)CC3)ncc1C1CC1)C1CCC1,1
ZINC000095560347,CC(C)N1CCC(n2cc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)cn2)CC1,1
ZINC000095562620,CCn1cc(Nc2ncc(C3CC3)c(NCCCNC(=O)C3CCC3)n2)cn1,1
ZINC000095562707,Cc1nn(C)c2cc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)ccc12,1
ZINC000103248061,COc1ccc(-c2nc3c(NCCCNC(=O)C4CCCC4)c(-c4nc(C(N)=O)cs4)cnc3[nH]2)cc1,1
ZINC000084603155,COc1ccc(-c2nc3c(NCCCNC(=O)C4CC(O)C4)c(Br)cnc3[nH]2)cc1,1
ZINC000084603157,COc1ccc(-c2nc3c(NCCCNC(=O)C4CCCC4)c(Br)cnc3[nH]2)cc1,1
ZINC000095557933,O=C(NCCCNc1nc(Nc2cccc(F)c2)ncc1Br)C1CCCC1,1
ZINC000095558232,O=C(NCCCNc1nc(Nc2cccc(F)c2)ncc1C1CC1)C1CCC1,1
ZINC000095562683,CN1CCC(c2ccc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)cc2)CC1,1
ZINC000095563061,Cn1cc(Nc2ncc(C3CC3)c(NCCCNC(=O)C3CCC3)n2)cn1,1
ZINC000084615162,COc1ccc(-c2nc3c(NCCCNC(=O)C4CCCC4)c(C(N)=O)cnc3[nH]2)cc1,1
ZINC000095560936,O=C(NCCCNc1nc(Nc2cnn(CCN3CCOCC3)c2)ncc1C1CC1)C1CCC1,1
ZINC000095562704,O=C(NCCCNc1nc(Nc2cccc(F)c2)ncc1Br)c1cccs1,1
ZINC000095563383,O=C(NCCCNc1nc(Nc2ccc(CN3CCCCC3)nc2)ncc1C1CC1)C1CCC1,1
