ID,SMILES,y
ZINC000084618886,Nc1nc2ccccc2c2c1nc(CCCc1nc3c(N)nc4ccccc4c3n1Cc1ccccc1)n2Cc1ccccc1,1
ZINC000049037645,CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,1
ZINC000095577572,CCCCCNc1oc2c(C)ncc(CO)c2c1Nc1cccc(F)c1,1
ZINC000095571684,CCCCCNc1oc2c(C)ncc(CO)c2c1Nc1cccc([N+](=O)[O-])c1,1
ZINC000221134649,CCCCCn1c(N)nc2c(C)cccc21,1
ZINC000040843022,CCCc1nc2c(N)nc3ccccc3c2s1,1
ZINC000103264009,CCCCc1nc2c(N)nc3cc(C(=O)OC)ccc3c2n1C[C@@H](C)O,1
ZINC000096283071,CCCCc1cc2c(o1)c(N)nc1ccccc12,1
ZINC000299831012,CCCCCn1c(N)nc2c(CC)cccc21,1
ZINC000095575140,Cc1ncc(CO)c2c(Nc3ccccc3)c(NCc3ccccc3)oc12,1
ZINC000141345890,CCCCOc1nc(N)c2nc(O)n(CC3CCNCC3)c2n1,1
ZINC000095576860,CCCCCNc1oc2c(C)ncc(CO)c2c1Nc1ccccc1,1
ZINC000103264011,CCCCc1nc2c(N)nc3cc(C(=O)OC)ccc3c2n1C[C@H](C)O,1
ZINC000299832618,CCCCCn1c(N)nc2c3ccccc3ccc21,1
ZINC000020586064,CCCCCn1c(N)nc2ccccc21,1
ZINC000095575211,Cc1ncc(CO)c2c(Nc3ccccn3)c(NCCCCCCNc3oc4c(C)ncc(CO)c4c3Nc3ccccn3)oc12,1
ZINC000134965222,CCCCCn1c(N)nc2c(OC)cccc21,1
ZINC000059947014,CCCCCCn1c(N)nc2ccccc21,1
ZINC000095572121,Cc1ncc(CO)c2c(Nc3ccccn3)c(N[C@@H](C)c3ccccc3)oc12,1
ZINC000103264017,CCCCc1nc2c(N)nc3cc(C(=O)OC)ccc3c2n1CCO,1
ZINC000028572103,CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,1
ZINC000036899060,CCCCCn1c(N)nc2cc(C)ccc21,1
ZINC000084633208,Nc1nc2ccccc2c2c1nc(CCCCCCCCCCc1nc3c(N)nc4ccccc4c3n1Cc1ccccc1)n2Cc1ccccc1,1
ZINC000150529407,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)cc1,1
ZINC000095578800,Cc1ncc(CO)c2c(Nc3ccccn3)c(NCc3ccccc3)oc12,1
ZINC000170168243,Cc1ncc(CO)c2c(Nc3ccccn3)c(NC[Si](C)(C)C)oc12,1
ZINC000299827628,CCCCCn1c(N)nc2c(O)cccc21,1
ZINC000095571704,CCCCCNc1oc2c(C)ncc(CO)c2c1Nc1ccccn1,1
ZINC000125732198,CCCCCn1c(N)nc2cccc(C)c21,1
ZINC000299833356,CCCCCn1c(N)nc2c(N)cccc21,1
ZINC000095572308,Cc1ncc(CO)c2c(Nc3ccccn3)c(NC3CCCCC3)oc12,1
ZINC000299825310,CCCCCn1c(N)nc2c(N(C)C)cccc21,1
ZINC000002475956,CCCCn1c(N)nc2ccccc21,1
ZINC000087150869,CCCCCn1c(N)nc2ccc(C)cc21,1
ZINC000103264005,CCCCCc1nc2c(N)nc3cc(C(=O)OC)ccc3c2n1CC(C)(C)O,1
ZINC000095572226,Cc1ncc(CO)c2c(Nc3ccccn3)c(NCCC(=O)OC(C)(C)C)oc12,1
ZINC000095579669,CCC[C@@H](C)Nc1oc2c(C)ncc(CO)c2c1Nc1ccccn1,1
ZINC000095579670,CCC[C@H](C)Nc1oc2c(C)ncc(CO)c2c1Nc1ccccn1,1
ZINC000095616590,CCCCOc1nc(N)c2c(n1)N(Cc1cccc(CN3CCCC3)c1)CC(=O)N2,1
ZINC000095577119,CCCCNc1oc2c(C)ncc(CO)c2c1Nc1ccccn1,1
ZINC000095575778,Cc1ncc(CO)c2c(Nc3cnccn3)c(NCc3ccccc3)oc12,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000299826285,Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,0
