ID,SMILES,y
ZINC000299847876,N#Cc1ccc(O[C@@H]2CC[C@@H](NC(=O)CCSc3nc(O)c4ccccc4n3)CC2)cc1Cl,1
ZINC000096283745,O=C(CCc1cccc(Cl)c1Cl)/N=c1\[nH]nc2n1CCS2,1
ZINC000013149824,COc1ccccc1NC(=O)c1ccc(NC(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1,1
ZINC000096285041,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCSC2,1
ZINC000103231388,CC1(C)OC(=O)N([C@@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1,1
ZINC000299847019,O=C(CCSc1nc(O)c2c(n1)CCCC2)N[C@@H]1CC[C@@H](c2nnc(-c3ccccc3)o2)CC1,1
ZINC000013782478,Cc1cccc2c(=O)[nH]c(-c3ccc(O)cc3)nc12,1
ZINC000096283746,O=C(CCc1c(Cl)cccc1Cl)/N=c1\[nH]nc2n1CCS2,1
ZINC000013782475,Cc1cccc2c(=O)[nH]c(-c3ccc(N)cc3)nc12,1
ZINC000013467799,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,1
ZINC000261114384,O=C(CCSc1nc(O)c2ccccc2n1)N[C@@H]1CC[C@@H](c2nnc(-c3ccccc3)o2)CC1,1
ZINC000096283744,O=C(CCc1ccc(Cl)cc1Cl)/N=c1\[nH]nc2n1CCS2,1
ZINC000096933432,O=C(CCc1ccccc1Cl)Nc1nnc2n1CCS2,1
ZINC000103235556,Cc1cccc2c(=O)[nH]c(-c3ccc(Br)cc3)nc12,1
ZINC000096283562,COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc4c(c(=O)[nH]3)COCC4)CC3CC3)CC2)cc1,1
ZINC000299847470,O=C(CCSc1nc(O)c2ccccc2n1)N[C@@H]1CC[C@@H](Oc2ccncc2)CC1,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000103235561,Cc1ccc(-c2nc3c(C)cccc3c(=O)[nH]2)cc1,1
ZINC000096283570,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)Cc2cccs2)CC1,1
ZINC000261136256,N#Cc1ccc(O[C@@H]2CC[C@@H](NC(=O)CCSc3nc(O)c4ccccc4n3)CC2)cc1,1
ZINC000016890271,O=C(CCC1CCCCC1)Nc1nnc2n1CCS2,1
ZINC000021110701,O=C(CCC1CCCC1)Nc1nnc2n1CCS2,1
ZINC000095921059,COCCNC(=O)c1ccc(-c2ccc3c(C)cc(=O)[nH]c3c2)c(Cl)c1,1
ZINC000096906611,Cc1cc(=O)[nH]c2cc(-c3ccccc3Cl)ccc12,1
ZINC000027563544,Cc1cccc2c(=O)[nH]c(-c3ccc(C(F)(F)F)cc3)nc12,1
ZINC000096283563,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)CC2CC2)CC1,1
ZINC000096283566,CCCN(Cc1nc2c(c(=O)[nH]1)COCC2)C(=O)CN1CCC(C(=O)c2ccc(F)cc2)CC1,1
ZINC000013782472,COc1ccc(-c2nc3c(C)cccc3c(=O)[nH]2)cc1,1
ZINC000096933431,O=C(CCc1ccccc1F)/N=c1\[nH]nc2n1CCS2,1
ZINC000095920848,O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ccc(-c2nnc(-c3ccccc3)o2)cc1,1
ZINC000008580818,O=c1[nH]c2ccccc2c2ccccc12,1
ZINC000000025958,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1
ZINC000299847103,O=C(CCc1nc(O)c2ccccc2n1)N[C@@H]1CC[C@@H](c2nnc(-c3ccccc3)o2)CC1,1
ZINC000101364035,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,1
ZINC000096283569,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2ccccc2)Cc2nc3c(c(=O)[nH]2)COCC3)CC1,1
