ID,SMILES,y
ZINC000045245382,Nc1nc(NCc2ccccc2-c2ccccc2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000040865613,N[C@@H](Cc1ccc(-c2cnc(NCc3ccc4ccccc4c3)cn2)cc1)C(=O)O,1
ZINC000045256057,Cc1ccc(-c2ccc(CNc3nc(N)nc(-c4ccc(C[C@H](N)C(=O)O)cc4)n3)cc2)cc1,1
ZINC000045245772,C[C@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)C12CC3CC(CC(C3)C1)C2,1
ZINC000045245773,C[C@@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)C12CC3CC(CC(C3)C1)C2,1
ZINC000040861902,Nc1nc(NCc2ccc3ccccc3c2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000040894701,Nc1nc(O[C@@H](c2ccccc2-c2ccco2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000040894704,Nc1nc(O[C@H](c2ccccc2-c2ccco2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000045255520,C[C@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc(-c2ccccc2)cc1,1
ZINC000045255523,C[C@@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc(-c2ccccc2)cc1,1
ZINC000040395096,C[C@@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc2ccccc2c1,1
ZINC000044431459,Nc1nc(O[C@@H](c2ccccc2-n2ccc(C(F)(F)F)n2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000044431462,Nc1nc(O[C@H](c2ccccc2-n2ccc(C(F)(F)F)n2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,1
ZINC000040895677,CCn1c2ccccc2c2cc(CNc3cnc(-c4ccc(C[C@H](N)C(=O)O)cc4)cn3)ccc21,1
