ID,SMILES,y
ZINC000147487762,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc([C@@](C)(O)c4cccc(F)c4O)nn23)ccc1C(=O)NC1CC1,1
ZINC000147488444,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc([C@](C)(O)c4cccc(F)c4O)nn23)ccc1C(=O)NC1CC1,1
ZINC000299869524,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4O)nn23)cc1,1
ZINC000147325154,COc1ccc(C(=O)c2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1F,1
ZINC000147378026,COc1ccc(C(F)(F)c2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1,1
ZINC000068267013,CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,1
ZINC000147399156,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C(F)(F)c4cccc(F)c4)nn23)ccc1C(=O)NC1CC1,1
ZINC000147538130,Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(C4(c5cccc(F)c5F)CC4)nn23)ccc1C(=O)NC1CC1,1
ZINC000207484215,O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,1
ZINC000084654796,FC(F)(F)Oc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,1
ZINC000084655145,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCC(O)CC2)c2nc[nH]c2n1,1
ZINC000084668412,CCOc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,1
ZINC000084669036,COc1cc(N2CCNCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,1
ZINC000147814226,CC(C)CNc1nc(-c2cccc3ncccc23)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,1
ZINC000299861845,O=C(NCC1(N2CCOCC2)CCCCC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4COC5)cc3)c2c1,1
ZINC000299865944,O=C(N[C@H](c1ncccn1)C1CCCC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,1
ZINC000207484366,O=C(N[C@H](c1ccccn1)C1CCCC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4COC5)cc3)c2c1,1
