ID,SMILES,y
ZINC000095598090,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,1
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,1
ZINC000095593559,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,1
ZINC000261129176,CCCCNc1ncc2c(-c3ccc(N4CCNCC4)cc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000095594713,CC[C@@H](CO)Nc1nc(Nc2cc(Cl)cc(Cl)c2)ncc1C(=O)NC1CCN(C)CC1,1
ZINC000039716080,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,1
ZINC000254075224,N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000095596619,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@H]2CCCCNC2=O)CC1,1
ZINC000095595899,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCOCC2)CC1,1
ZINC000095598372,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@@H]2COC[C@H]2O)CC1,1
ZINC000261189066,CCCCNc1ncc2c(-c3ccc(N4CCNCC4)nc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000095596286,O[C@@H]1COC[C@H]1Nc1nc(Nc2cc(Cl)cc(Cl)c2)ncc1Br,1
ZINC000249857461,CCCCNc1ncc2c(-c3ccc(CN4CCN(C)CC4)cc3)cn([C@@H]3CC[C@@H](O)CC3)c2n1,1
ZINC000299829706,CN1CCN(Cc2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)cc2)CC1,1
ZINC000084710148,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCCc4ccccc4)nc32)CC1,1
ZINC000101503400,Cn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,1
ZINC000101503417,CCn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,1
ZINC000261143430,CCCCNc1ncc(-c2ccc(CNCCO)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261183492,CCCCNc1ncc(-c2ccc(CN(C)C)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261091168,N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)nc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000261181447,CCCCNc1ncc(-c2ccc(CNC3CCCCC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261184546,CCCCNc1ncc(-c2ccc(C(=O)NC3CCN(C)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084633818,CC(C)(NC(=O)c1nc(-c2cccc(-c3ccc(N)nc3)c2)cnc1N)C1CCNCC1,1
ZINC000261185113,CCCCNc1ncc(-c2ccc(S(=O)(=O)N3CCOCC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000101503495,Cc1cc(-c2cnn(C)c2)cc(-c2cnc(N)c(C(=O)NC3[C@H]4CC5C[C@H]3CC(O)(C5)C4)n2)c1,1
ZINC000261155790,CCCCNc1ncc(-c2ccc(CNC3CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000299826447,CCCCNc1ncc2c(-c3ccc(S(=O)(=O)N4CCN(C)CC4)c(F)c3)cn([C@@H]3CC[C@@H](O)CC3)c2n1,1
ZINC000084596690,COc1cncc(-c2cccc(-c3cnc(N)c(C(=O)NC(C)(C)C4CCNCC4)n3)c2)c1,1
ZINC000095595392,COc1cc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)ccc1O,1
ZINC000261141663,CCCCNc1ncc(-c2ccc(CN3CCC(F)(F)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000095595926,COc1cccc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)c1,1
ZINC000101503539,CCCn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,1
ZINC000101503553,CC(C)n1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,1
ZINC000101503593,NC(=O)Cn1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,1
ZINC000095596994,CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCC(N(C)C)CC2)CC1,1
ZINC000084596689,CC(C)(NC(=O)c1nc(-c2cccc3cn[nH]c23)cnc1N)C1CCNCC1,1
ZINC000095594742,O[C@@H]1COC[C@H]1Nc1nc(Nc2cc(Cl)cc(Cl)c2)ncc1-c1cccnc1,1
ZINC000299829792,CN1CCN(S(=O)(=O)c2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)c(F)c2)CC1,1
ZINC000254077925,CCCCNc1ncc2c(-c3ccc(F)cc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1
ZINC000101503475,Nc1ncc(-c2cccc(-c3cn[nH]c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,1
ZINC000101503507,COc1cc(-c2cnn(C)c2)cc(-c2cnc(N)c(C(=O)NC3[C@H]4CC5C[C@H]3CC(O)(C5)C4)n2)c1,1
ZINC000101503528,Nc1ncc(-c2cccc(-c3cnn(CC(F)(F)F)c3)c2)nc1C(=O)NC1[C@H]2CC3C[C@H]1CC(O)(C3)C2,1
ZINC000261072144,CCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](CN)CC2)n1,1
ZINC000084596687,CC(C)(NC(=O)c1nc(-c2cccc(OC(F)(F)F)c2)cnc1N)C1CCNCC1,1
